cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m1_rhat
2019-09-30,4,1,0,484.3709706556829,1837.6852546517864,95.20976743484589,15087.917702733677,1.0024553903155737
2019-09-30,4,2,0,1041.1188539334823,3867.404624441942,180.54529653014967,34143.34886808542,1.0024553903155737
2019-09-30,4,6,0,4309.080957720374,15554.261476787871,602.0761270899161,138724.38868346126,1.0024553903155737
2019-09-30,5,1,0,403.0346273969731,1501.4252822232984,84.92419058466385,11370.951228515878,1.0024553903155737
2019-09-30,5,2,0,212.96357371122434,799.5409367046684,52.30838166341512,5752.633461412596,1.0024553903155737
2019-09-30,5,6,0,615.9484940888551,2337.6804031869087,125.99206114126001,18884.95547852315,1.0024553903155737
2019-09-30,6,1,0,513.9435086493281,1955.4479280414362,111.11657445834831,16454.250759206894,1.0024553903155737
2019-09-30,7,1,0,915.724305950875,3415.975185665349,160.15266479669953,28841.345807299127,1.0024553903155737
2019-09-30,7,2,0,336.7260770424333,1296.742134052696,73.76103907457414,9595.34442866774,1.0024553903155737
2019-09-30,7,6,0,2626.1804096059846,9613.522535888129,401.76855508893016,86648.79094018464,1.0024553903155737
2019-09-30,8,1,0,456.71027367278265,1709.856095982674,96.39577168117131,13584.890140840726,1.0024553903155737
2019-09-30,8,2,0,232.8063575539298,890.2369626171392,56.36293354169817,7024.709051284713,1.0024553903155737
2019-09-30,8,6,0,1861.6848228147037,6831.615522759505,323.9615736415017,58018.430781489005,1.0024553903155737
2019-09-30,9,1,1,439.4323805842656,780.21358681273,51.59332498954257,5268.648686749278,1.0024553903155737
2019-09-30,9,2,0,844.9622665999887,3164.102616985885,167.9119004438712,27316.68891963738,1.0024553903155737
2019-09-30,9,6,0,4891.300372547855,17674.656491462847,707.3925302041614,159292.4301321552,1.0024553903155737
2019-09-30,10,1,0,20283.835430434043,73714.68302269871,3202.4196011330546,625814.5177976721,1.0024553903155737
2019-09-30,10,2,1,9499.817715217021,13516.505771465143,588.3350986229212,126285.26016034203,1.0024553903155737
2019-09-30,10,6,0,256077.53543043404,921030.4461285186,34812.24108584186,8192945.516323994,1.0024553903155737
2019-09-30,11,1,0,775.0476589131373,2947.077373405092,151.00769171957063,23921.46446656865,1.0024553903155737
2019-09-30,11,2,0,949.2442876241552,3540.559580011881,174.82905292659456,26896.890555620306,1.0024553903155737
2019-09-30,11,6,0,5692.543967405018,20527.074010280798,819.2171655376642,179737.03364393307,1.0024553903155737
2019-09-30,12,1,2,257.7913263841789,233.3491509132402,23.240283289466124,1235.2364714963837,1.0024553903155737
2019-09-30,12,2,0,296.9621283342059,1137.1052026325399,67.47890708537739,9124.22743774082,1.0024553903155737
2019-09-30,12,6,0,1438.9597387612669,5267.239441519401,248.71774859195617,46408.241828291764,1.0024553903155737
2019-09-30,13,1,0,4557.73551548099,16868.633851725146,693.9811041389668,149463.36681169708,1.0024553903155737
2019-09-30,13,2,0,2299.3607975743635,8371.45772649293,364.624928598252,79629.13855593615,1.0024553903155737
2019-09-30,13,6,0,27148.366086962422,101231.43999866229,4268.74862568333,923213.1600847945,1.0024553903155737
2019-09-30,14,1,0,1536.5098009665494,5582.419782360625,269.91000302182067,45473.34483038477,1.0024553903155737
2019-09-30,14,2,0,153177.63543043402,562286.8803645052,23647.736782209635,4889674.467305857,1.0024553903155737
2019-09-30,14,6,0,831566.6354304341,2919105.9618267748,113537.6204088137,26723181.890743643,1.0024553903155737
2019-09-30,15,1,0,1448.3635050141936,5362.695345362134,254.19654394139744,44751.88239384764,1.0024553903155737
2019-09-30,15,2,0,45360.83543043404,162152.44556707496,6696.277631025489,1434811.4897122416,1.0024553903155737
2019-09-30,15,6,0,93200.63543043405,337622.74019506533,14000.926052714338,3129755.4245990748,1.0024553903155737
2019-09-30,16,1,0,2215.6908437794946,8103.207844430972,353.0145008466017,71129.2388749235,1.0024553903155737
