cutoff,subsystem,ftype,n_fail_cum,gamma,m3,m3_lo95,m3_hi95
2020-04-30,9,6,0,4993.634428478581,98897.50475587428,4.0513412979192346e-21,29.329594423629086
2020-04-30,10,1,1,10193.084743182384,150.85402070932398,7.959875244246383e-14,179.9519811460625
2020-04-30,10,2,1,9550.984743182384,149.7769583480159,3.5979602207194485e-14,100.08699612093552
2020-04-30,10,6,1,128089.93474318238,150.46724608589702,8.209227211314626e-16,114.61045283858103
2020-04-30,11,1,0,877.3817148438633,20381.69661814084,1.3842007608001997e-20,52.27939606675852
2020-04-30,11,2,0,1051.578343554881,23990.596156921325,9.492494101364166e-21,43.48438996629563
2020-04-30,11,6,0,5794.878023335744,113742.50498270064,4.099334070329589e-21,27.10019593743946
2020-04-30,12,1,2,291.90267836108757,75.43938843627146,2.1802316119987118e-10,111.12881035710257
2020-04-30,12,2,0,399.29618426493187,9589.044213078121,4.939220050618827e-19,151.10206622934297
2020-04-30,12,6,0,1541.2937946919926,33778.60320858751,7.101332069960496e-21,28.804606770832233
2020-04-30,13,1,0,4660.069571411716,92704.23159912782,4.306191982606581e-21,33.13463689770499
2020-04-30,13,2,0,2401.6948535050897,50365.63191071113,5.564495811590444e-21,20.76335756333476
2020-04-30,13,6,0,27250.700142893147,507869.18370336114,3.451368812432511e-21,55.09172880898366
2020-04-30,14,1,0,1638.8438568972751,35687.967696189524,6.896031647160816e-21,29.296107724043345
2020-04-30,14,2,2,51093.32316212158,75.63608196483585,4.1220931706835936e-11,108.04067916326636
2020-04-30,14,6,2,277222.98982878827,74.93949674179505,5.199724863386219e-13,110.76573858019552
2020-04-30,15,1,4,310.1395121889839,37.34587905160249,7.00826694678939e-10,53.71562512932461
2020-04-30,15,2,2,15154.389828788255,74.31237411773837,3.7399136029594584e-13,65.92318828401312
2020-04-30,15,6,1,46651.48474318239,151.96648780274526,2.516727346047767e-14,235.68900563765183
2020-04-30,16,1,0,2318.024899710221,48772.05221155758,5.6696048829874224e-21,35.261316501584226
2020-04-30,17,1,0,1146.3145562790571,25918.306804961398,9.484768459854602e-21,50.43858910612649
2020-04-30,17,2,0,1255.584109779313,28118.023830853996,8.687656305258803e-21,23.669960039736996
