cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2020-03-31,25,1,0,695.3356001539829,698.6200864155192,91.24310469735923,5932.605159672393,13346.344576605648,2.133373496125542e-20,67.71689769478164,1.0023363718982963
2020-03-31,26,1,0,1250.304844462205,1149.127292688021,122.76954749321402,10230.740263010046,22463.76395741014,8.026795728870147e-21,39.76477001323095,1.0023363718982963
2020-03-31,26,2,0,20583.18266199001,15068.03980021349,1038.7593318472213,178136.2536737054,304152.54318105144,3.7427679980462065e-21,57.120471542643706,1.0023363718982963
2020-03-31,26,6,0,38237.17080933359,27259.51174337069,1841.3781234388027,316446.6285815991,558975.8397638889,3.45149570652619e-21,143.52580504650996,1.0023363718982963
2020-03-31,27,1,0,324.3155797550206,367.2856547703714,59.9058867170157,2549.8274136654927,6355.436221809377,2.0125312259494993e-17,119.76523203432512,1.0023363718982963
2020-03-31,27,2,0,233.19467627775396,269.62453110575626,48.70292666839483,1671.134655699737,4243.271619027534,2.6957340522236153e-15,173.62223546674244,1.0023363718982963
2020-03-31,27,6,0,1119.5989145678725,1032.2937651852885,119.82882130534122,9025.671666604117,20380.083682718403,8.012894593785655e-21,35.52750039082314,1.0023363718982963
2020-03-31,28,1,0,34004.8695036074,24355.76152479411,1769.157349961803,267797.6810083038,497900.1510046846,3.4472803150387455e-21,116.00272420249382,1.0023363718982963
2020-03-31,29,1,0,488.6646124566581,526.9361051669489,73.66145094589076,4207.982463690611,9634.338022940157,6.555254433136958e-20,60.74815159919084,1.0023363718982963
2020-03-31,29,2,0,987.9907862675007,931.3902983579972,108.46494528237436,8613.880729640085,18250.60183972545,1.1377813549453272e-20,46.53936170669347,1.0023363718982963
2020-03-31,29,6,1,1813.0224900526314,782.1595064640182,97.4448498442096,6740.087265370481,125.65290771938406,8.97894730560579e-12,73.00560539398957,1.0023363718982963
2020-04-30,1,1,1,188.06056424806542,177.41996898812118,42.02431043037802,882.0654814814131,114.65163995719503,0.0713738432358359,152.3667239794582,1.0051138607102688
2020-04-30,1,2,0,656.2899739132419,584.7704744788606,85.61227105628048,4756.622518807042,15623.254166115612,2.3591532805510512e-20,67.03747873498945,1.0051138607102688
2020-04-30,1,6,0,2303.954087227885,1617.8364078818645,172.30530643312417,16616.070508802983,48503.75186628808,5.4625521542143935e-21,27.702375425758525,1.0051138607102688
2020-04-30,2,1,0,258.41061074084604,255.11713725943872,50.159580023458645,1501.7985522764934,5669.579015949942,2.6877760229207894e-15,213.01062548371496,1.0051138607102688
