cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2021-04-30,11,1,5,202.70338741155453,134.39755622052562,59.35992835615647,349.9862479548986,1069.9194678799488,36.818668997656175,33844.601910231184,1.0054030185154779
2021-04-30,11,2,3,347.60423829508625,226.962994876352,86.76320953217436,742.0307978002904,1881131.9865722773,370.1927324483585,12389873185.761555,1.0054030185154779
2021-04-30,11,6,1,3066.8583164806037,1097.203965124255,234.9754549738216,7760.785320423485,11346.66450166859,133.21312273922538,836043.608793846,1.0054030185154779
2021-04-30,12,1,6,173.50666352981807,111.29079053915044,53.36381081466053,264.1930088085796,8508.698540165109,417.4781000994802,189956.94023693088,1.0054030185154779
2021-04-30,12,2,1,369.06739694519786,359.1136848837985,113.59333198177865,1492.774534788129,20101.992993091473,152.55196103515237,2137436.6912176386,1.0054030185154779
2021-04-30,12,6,1,940.0662021587283,605.9778108070226,155.1285793159797,3365.436398354631,4534.119377218951,129.42301936352675,150011.68177826365,1.0054030185154779
2021-04-30,13,1,3,1249.727045259295,321.5378462475503,108.2586703450507,1252.238097097579,176601.09859834492,171.27913472991239,171455639.56087184,1.0054030185154779
2021-04-30,13,2,1,1370.2667315652766,731.5212046386047,176.18160703880935,4555.208730905503,160519.73006939015,5.102244926998168,4694542614.660379,1.0054030185154779
2021-04-30,13,6,1,13794.769376259304,2635.8288005391278,406.9134500623541,22830.029308572804,15504.098784480862,125.13505613643049,2196599.1164678144,1.0054030185154779
2021-04-30,14,1,4,395.53649330454783,186.94531014369588,74.67152722787688,594.1558895143266,50077.796672061,247.8132036038366,11303258.103114,1.0054030185154779
2021-04-30,14,2,4,30723.76161919804,546.2535564735817,144.70403627472874,2843.8195217339394,94729.61343034205,1722.7559396279066,5197223.702614989,1.0054030185154779
2021-04-30,14,6,2,277335.9360319968,10571.501031224288,1045.1378123107863,126662.49115784206,3995229.600199487,34305.03535820679,437949711.2131769,1.0054030185154779
