cell,subsystem,ftype,n_failures,n_failures_all,theta0,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_lo50,mtbf_hi50,mtbf_hi95,max_rhat
s15t2,15,2,10,10,45315.5,384.0797423390162,982.0918877204298,715.7465084384728,207.30419860278428,454.9767041950777,1192.3496630019663,3382.6186684484583,1.0022617514776084
s15t6,15,6,2,2,93155.3,33818.10127407741,121748.08581367713,66273.54126965659,7892.670234706885,30913.88801397854,136901.08562786074,582309.2098466988,1.0007002696000056
s16t1,16,1,1,1,2170.3554133454536,3807.9110356544647,18580.033023099608,10946.3685984343,1677.9641361456022,5643.54086738414,21450.396178895382,82832.51184686508,1.001501291621758
s16t2,16,2,4,4,,23129662.740836367,60535065.42109853,27542288.981162462,2373433.2199190613,11593143.323676143,63275191.30486577,321729516.07577014,1.001522433232703
s16t6,16,6,0,0,,178108240.80045664,502312749.84129983,223961043.31962216,19166872.48012593,97606988.96416125,528336353.62697774,2665134871.5374136,1.0009961700717964
s17t1,17,1,1,1,998.64506991429,1974.830195185229,10172.081431760309,6318.25636448766,1084.449597015712,3368.0876954464484,11729.577619927808,44364.07857447035,1.0009025676241925
s17t2,17,2,2,2,1107.914623414546,1179.8909268377572,5283.082300547249,3311.7422629531357,635.564310020547,1896.4341341443946,6172.464393416929,21068.260069360156,1.000875280729926
s17t6,17,6,1,1,1925.5035257975712,5385.982889866413,22202.47814467445,11989.42490917059,1731.168155300203,5896.2308076081445,24376.196000034746,105047.90502621084,1.0009158016468638
s18t1,18,1,1,1,998.5211651975357,3242.9975530184224,14658.718863663658,8222.317862062044,1330.3385202785812,4235.700689325381,16505.079688626785,68408.25157043959,1.000709710009658
s18t2,18,2,2,2,1067.251038784975,1177.0398007076337,5156.682006444212,3273.97312830795,653.5360605297287,1845.785537046328,6044.110473169634,20543.262466254393,1.0013977125401383
s18t6,18,6,0,0,8579.337890893563,16248.95763105966,87606.43193102656,47396.86982715095,6026.385049059313,22495.91015040469,98949.10212875299,435400.88415020297,1.0011364131295772
s19t1,19,1,2,2,74.77193173429393,888.8869884704561,3565.1878196155812,2332.418693925241,446.55492396156257,1305.5048703090931,4286.769748970034,14254.037550825185,1.0012438217907798
s19t2,19,2,5,5,243.51685494086348,291.53704739301105,877.0327525607115,652.065929378791,192.26347362660786,413.2407707050952,1056.7532908509854,2909.357096604137,1.0020771483435298
s19t6,19,6,0,0,340.7293364826334,1303.8911202177424,9505.872602810818,5742.385632028581,1056.2554191042218,3097.4889378957814,11043.746305417038,42325.97371872938,1.0012860509523385
s20t1,20,1,3,3,174.43573092143694,533.0986218494289,1996.7088677874929,1368.2822769879922,325.34557529272405,816.8349837823753,2399.0192861521564,7339.129946527787,1.0010654590907344
