subsystem,ftype,n_failures,n_failures_all,contractor,cf_final,cf_lo95,cf_hi95,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_hi95,ratio_glm_over_cf,cf_inside_mcmc_ci,map_inside_cf_ci,max_rhat
9,6,3,3,4845.964942113814,1363.3216869202356,622.004893003888,5003.633365776309,3868.2156785967923,13086.138874160059,7506.925708200286,1146.4622180232705,58279.68657543119,2.837346251958443,True,True,1.0010548725251232
10,1,5,5,20238.5,3474.303634261188,1786.5296996909944,9467.222039622688,1712.6479243935353,6197.924016396377,3982.2375891465354,743.0555864315177,25551.334224029524,0.492947106725095,True,False,1.0014280029117957
10,2,11,11,18954.3,1630.1351504639272,993.8818985821289,3154.8076529304853,425.5893006582913,965.0264847275049,711.0357653627682,187.78092936092096,3210.061337157247,0.26107608349968464,True,False,1.0010410284146525
10,6,15,15,256032.2,16039.970112847946,10373.373135407266,28062.196754098346,406.8377436907488,901.9165989993145,693.887936612311,200.0960068745547,2837.8051533586768,0.025363996368351932,False,False,1.0026169877494364
11,1,6,6,729.7122284790962,191.00486200660353,102.38038926688417,475.0751802700701,712.9861516641988,1989.6877305791436,1336.4482148955565,295.85520528384086,7476.276085405917,3.732816767981273,False,False,1.0011991554363333
11,2,3,3,903.9088571901141,377.8076656893106,172.37180258167305,1386.6214115316857,5135.43689458056,17939.048278085098,10432.560240128489,1582.5381043238285,79314.00293774,13.592728154975225,False,False,1.0015389296243329
11,6,2,2,5647.208536970977,2084.843447512702,865.7163645260405,10109.604281609976,5811.0057991943,21634.96769105189,12620.97006832796,2039.1253606250366,95264.61329337105,2.787262423050063,True,True,1.0012240649168116
12,1,6,6,728.0385487184956,190.7657648979463,102.25223098442082,474.480488067976,397.3355540109874,1139.0812773512278,811.6325873365072,223.44453226990038,4006.025214367619,2.0828451804418338,False,True,1.0011849683156815
12,2,1,1,251.6266979001648,429.4742517336466,154.1643000455111,3546.307179604517,1367.463691368983,5725.224187960716,3567.078575710286,670.6259181428195,24633.008569549365,3.1840411522902268,False,True,1.001243231201636
12,6,3,3,1393.6243083272257,500.2365284735885,228.22901693344465,1835.9571395837424,1481.5269879009825,5894.5474650518845,3651.0192658688316,686.3516469156157,24689.4211850922,2.961652945301063,False,True,1.0011388760786464
13,1,4,4,4512.400085046949,1023.9443781228156,499.89528508498444,3153.5354541781126,6517.024523455107,19753.127076700493,11158.823089542391,1655.8929754667063,90157.12072427,6.364627476545832,False,False,1.0015537065167126
13,2,1,1,2254.0253671403225,1430.6735863537256,513.55533223121,11813.532453869515,5994.800544671961,26839.801077787753,14196.58856226991,2062.194077248418,124913.18530871683,4.190194466335651,False,True,1.0012923733560395
13,6,1,1,27103.03065652838,13855.176231047753,4973.461242541212,114406.65125909132,37618.32231457451,137202.06539002853,71868.1433150539,8602.235175561247,677141.5047265636,2.7151096230935305,True,True,1.00142374867836
14,1,4,4,1491.1743705325082,419.69923521992735,204.89947825569357,1292.5862445613527,1554.2969655032412,5414.623564293474,3303.9678457444625,628.0210382000789,22777.836661575308,3.7033590606586912,False,False,1.0012965986277758
14,2,5,5,153132.3,25623.270300927852,13175.801027981326,69821.52824179934,4419.592059477361,16594.75930339412,9915.3729566798,1590.877149784948,72248.98462992215,0.17248352796392744,True,False,1.0012026809307468
14,6,2,2,831521.3,277376.2072685224,115178.49076342396,1345023.6256175807,231023.73963391772,761750.1446240528,376065.0891093322,41357.21261647223,3845059.247231284,0.8328895326276785,True,True,1.0013655868015052
15,1,9,9,1403.0280745801524,201.03498801472807,117.66889129651001,419.2256368641532,302.2603399806716,706.6227832654698,536.4892581709873,167.8225163752901,2286.2827333878568,1.5035210684745464,True,True,1.0019858428324444
15,2,10,10,45315.5,4174.801982324285,2497.1143408340727,8363.04510055232,384.0797423390162,982.0918877204298,715.7465084384728,207.30419860278428,3382.6186684484583,0.0919995113457293,False,False,1.0022617514776084
15,6,2,2,93155.3,31254.20726852238,12978.086544065894,151554.6253591084,33818.10127407741,121748.08581367713,66273.54126965659,7892.670234706885,582309.2098466988,1.0820335637863787,True,True,1.0007002696000056
16,1,1,1,2170.3554133454536,1388.8386094562911,498.53822723648966,11468.0875795119,3807.9110356544647,18580.033023099608,10946.3685984343,1677.9641361456022,82832.51184686508,2.741795201924292,False,True,1.001501291621758
17,1,1,1,998.64506991429,802.9834377407092,288.23935108502894,6630.492791752852,1974.830195185229,10172.081431760309,6318.25636448766,1084.449597015712,44364.07857447035,2.459366037164667,False,True,1.0009025676241925
17,2,2,2,1107.914623414546,571.7454763272248,237.4132291759038,2772.4482250044975,1179.8909268377572,5283.082300547249,3311.7422629531357,635.564310020547,21068.260069360156,2.0636646474531526,False,True,1.000875280729926
17,6,1,1,1925.5035257975712,1266.4126656823498,454.5921469927177,10457.17714280277,5385.982889866413,22202.47814467445,11989.42490917059,1731.168155300203,105047.90502621084,4.252944585771666,False,True,1.0009158016468638
18,1,1,1,998.5211651975357,802.9214853823321,288.2171126343493,6629.98123118218,3242.9975530184224,14658.718863663658,8222.317862062044,1330.3385202785812,68408.25157043959,4.038997102530124,False,True,1.000709710009658
18,2,2,2,1067.251038784975,558.1909481173678,231.7848080593434,2706.7210277950107,1177.0398007076337,5156.682006444212,3273.97312830795,653.5360605297287,20543.262466254393,2.1086687354524134,False,True,1.0013977125401383
18,6,0,0,8579.337890893563,9186.65969646069,2490.3659256784567,362853.67604340654,16248.95763105966,87606.43193102656,47396.86982715095,6026.385049059313,435400.88415020297,1.768755801123213,True,True,1.0011364131295772
19,1,2,2,74.77193173429393,227.36457910047412,94.41151904028355,1102.512481262265,888.8869884704561,3565.1878196155812,2332.418693925241,446.55492396156257,14254.037550825185,3.9095227233158876,False,True,1.0012438217907798
19,2,5,5,243.51685494086348,141.80644341799865,72.9186189357564,386.41213544160206,291.53704739301105,877.0327525607115,652.065929378791,192.26347362660786,2909.357096604137,2.0558801163474354,False,True,1.0020771483435298
19,6,0,0,340.7293364826334,948.0511420497619,257.0024729304912,37446.019917602796,1303.8911202177424,9505.872602810818,5742.385632028581,1056.2554191042218,42325.97371872938,1.3753383782636728,False,True,1.0012860509523385
20,1,3,3,174.43573092143694,195.43938412214135,89.16769561867221,717.2973427785968,533.0986218494289,1996.7088677874929,1368.2822769879922,325.34557529272405,7339.129946527787,2.7276929071586964,False,True,1.0010654590907344
20,2,2,2,123.5873507024729,243.63638542320044,101.16827050322362,1181.4160186314707,656.0577606440219,2413.629203981961,1581.7894041566938,370.66124752388856,9480.982026242928,2.69277414990556,False,True,1.0012135215611324
20,6,3,3,979.8049799128931,396.7816963700054,181.0285561832818,1456.2594829480192,1278.8258347165838,5074.169189504037,3137.206105897264,646.5539944391572,20712.245393159577,3.22299603639997,False,True,1.0015141575933473
21,1,2,2,1027.6464018665679,544.9894024778988,226.3029604363189,2642.7054766610054,1760.6869820596303,6572.094125394221,3973.714460568903,698.4747611758308,28953.41229750712,3.230681136283255,False,True,1.0017523939906583
22,1,0,0,2028.3564257034816,2635.67823127061,714.4929141913901,104103.72939498129,4507.9550522290665,31713.996302854233,16838.604213625193,2399.7685005180506,147195.63531616936,1.7103586464937595,True,True,1.0014330670424323
22,2,2,2,16440.93412117688,5682.751975581336,2359.722206803001,27556.20513003273,9211.644317068392,33011.57664999301,17615.93000956661,2512.627238829073,163839.6080177382,1.6209829949733212,True,True,1.0014956374434971
22,6,2,2,56674.54962808113,19093.95714454942,7928.629453360734,92588.41527487795,79795.88914750087,222066.35621486485,104981.58542013318,12260.716632082076,1082626.956868679,4.179117431939952,True,True,1.001818581293575
